code,ms_name,ms_category,ms_investment_style,ms_id
100414,Tata Hybrid Equity Reg Gr,Aggressive Allocation,Large Growth,F0GBR06RC2
100415,Tata Ethical Reg Gr,Equity - Other,Large Blend,F0GBR06RFS
100417,Tata Income Reg HY IDCW-R,Medium to Long Duration,,F00000Z979
100418,Tata Income Reg Gr,Medium to Long Duration,,F0GBR06REM
100470,Franklin India Bluechip IDCW-R,Large-Cap,Large Blend,F00000Z7Y8
100471,Franklin India Bluechip Gr,Large-Cap,Large Blend,F0GBR06SHM
100472,Franklin India Prima IDCW-R,Mid-Cap,Mid Growth,F00000Z7ZQ
100473,Franklin India Prima Gr,Mid-Cap,Mid Growth,F0GBR06SHZ
100474,Tata India Tax Savings Reg IDCW-P,ELSS,Large Growth,F0GBR06RFZ
100475,Tata Large Cap Gr,Large-Cap,Large Blend,F0GBR06RFR
100476,Taurus Flexi Cap Gr,Flexi Cap,Large Blend,F0GBR06RG4
100477,Taurus Discovery (Midcap) Gr,Mid-Cap,Mid Blend,F0GBR06RG2
100480,Taurus Tax Shield Gr,ELSS,Large Blend,F0GBR06RG3
100484,Franklin India Index NSE Nifty Gr,Index Funds,Large Blend,F0GBR06SHT
100493,Franklin India Gov Sec Gr,Government Bond,,F0GBR06RGS
100494,Franklin India Gov Sec Qt IDCW-R,Government Bond,,F00000Z7YK
100496,Templeton India Value Gr,Value,Large Blend,F0GBR06RGP
100497,Templeton India Value IDCW-R,Value,Large Blend,F00000Z98S
100498,Franklin India Dynamic Accrual IDCW-R,Other Bond,,F00000Z7YE
100499,Franklin India Dynamic Accrual Gr,Other Bond,,F0GBR06RH6
100503,Franklin India Low Duration Mn IDCW-R,Other Bond,,F00000Z7Z3
100504,Franklin India Low Duration Qt IDCW-R,Other Bond,,F00000Z7Z4
100519,Franklin India Flexi Cap IDCW-R,Flexi Cap,Large Blend,F00000Z7ZS
100520,Franklin India Flexi Cap Gr,Flexi Cap,Large Blend,F0GBR06SI1
100521,Franklin India Technology IDCW-R,Sector - Technology,Large Blend,F00000Z808
100522,Franklin India Technology Gr,Sector - Technology,Large Blend,F0GBR06SIA
100524,Franklin India Opportunities IDCW-R,Equity - Other,Large Blend,F00000Z7ZM
100525,Franklin India Taxshield IDCW-R,ELSS,Large Blend,F00000Z806
100526,Franklin India Taxshield Gr,ELSS,Large Blend,F0GBR06SI5
100527,Franklin India Corp Dbt A Ann IDCW-R,Corporate Bond,,F00000Z7YP
100528,Franklin India Corp Dbt A Gr,Corporate Bond,,F0GBR06RGV
100529,Franklin India Corp Dbt A Mn IDCW-R,Corporate Bond,,F00000Z7YR
100530,Franklin India Corp Dbt A Qt IDCW-R,Corporate Bond,,F00000Z7YS
100531,Franklin India Corp Dbt A HY IDCW-R,Corporate Bond,,F00000Z7YQ
100532,,,,
100535,Franklin India Pension Plan IDCW-R,Retirement,Large Blend,F00000Z7ZO
100536,Franklin India Pension Plan Gr,Retirement,Large Blend,F0GBR06RHC
100537,Franklin India Liquid Wk IDCW-R,Liquid,,F00000Z80C
100538,Franklin India Liquid Gr,Liquid,,F0GBR06RHM
100541,Franklin India Liquid Dl IDCW-R,Liquid,,F0GBR06RHL
100546,Franklin India Liquid Super Instl Gr,Liquid,,F0GBR06RHR
100547,Franklin India Liquid SI Dl IDCW-R,Liquid,,F0GBR06RHQ
100548,Franklin India Liquid SI Wk IDCW-R,Liquid,,F00000Z80B
100549,Franklin India Eq Hybrid IDCW-R,Aggressive Allocation,Large Blend,F00000Z7Y4
100550,Franklin India Eq Hybrid Gr,Aggressive Allocation,Large Blend,F0GBR06SIO
100593,Canara Robeco Equity Taxsaver Reg IDCW-R,ELSS,Large Growth,F00000Z7MN
100596,Canara Robeco Gilt Reg IDCW-R,Government Bond,,F00000Z7MR
100597,Canara Robeco Gilt Reg Gr,Government Bond,,F0GBR06SBH
100600,Canara Robeco Cons Hyb Mly IDCW-R,Conservative Allocation,Large Growth,F00000Z7NA
100601,Canara Robeco Cons Hyb Reg Gr,Conservative Allocation,Large Growth,F0GBR06SB8
100602,Sundaram Med Term Bond Qt IDCW-R,Medium Duration,,F00000Z93U
100603,Sundaram Med Term Bond Gr,Medium Duration,,F0GBR06R9P
100604,Sundaram Med Term Bond Bns,Medium Duration,,F0GBR06R9N
100605,,,,
100606,,,,
100607,,,,
100608,Sundaram Med Term Bond Instl Gr,Medium Duration,,F000002QYN
100609,Sundaram Med Term Bond HY IDCW-R,Medium Duration,,F00000Z93T
100610,Sundaram Med Term Bond Yr IDCW-R,Medium Duration,,F00000Z93V
100611,,,,
100614,Sundaram Diversified Equity IDCW-P,ELSS,Large Growth,F0GBR06RBS
100617,Sundaram Equity Hybrid Gr,Aggressive Allocation,Large Growth,F0GBR06R9L
100618,Sundaram Money Gr,Liquid,,F0GBR06RAU
100619,Sundaram Money Qt IDCW-R,Liquid,,F0GBR06RAZ
100620,Sundaram Money Dl IDCW-R,Liquid,,F0GBR06RAT
100621,Sundaram Money Wk IDCW-R,Liquid,,F0GBR06RB3
100622,Sundaram Money Retl Fr IDCW-R,Liquid,,F0GBR06RAR
100623,Sundaram Money Mn IDCW-R,Liquid,,F00000Z94Y
100630,Quant Active IDCW-R,Multi-Cap,Mid Blend,F00000Z7X9
100631,Quant Active Gr,Multi-Cap,Mid Blend,F0GBR06SGZ
100638,SBI Magnum Income Reg IDCW-R,Medium to Long Duration,,F00000Z91P
100639,SBI Magnum Income Reg Gr,Medium to Long Duration,,F0GBR06R7D
100640,SBI Magnum Income Reg Bns,Medium to Long Duration,,F0GBR06R7E
100641,SBI Magnum Ultra Short Dur Reg Gr,Ulta Short Duration,,F0GBR06R7M
100643,SBI Technology Opportunities Reg IDCW-R,Sector - Technology,Large Growth,F00000Z916
100644,SBI Healthcare Opportunities Reg IDCW-R,Sector - Healthcare,Large Growth,F00000Z92H
100645,SBI Consumption Opportunities Reg IDCW-R,Equity - Consumption,Mid Growth,F00000Z910
100650,UTI Mastershare Unit Reg IDCW-R,Large-Cap,Large Growth,F00000Z9C3
100651,UTI Mastershare Unit Reg Gr,Large-Cap,Large Growth,F0GBR06RL1
